Donor_Id,Decimal_Values,Link_Image,Cand_Name,Cand_Id,Cand_Office,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,funding1,fund2,donations3,gifts4,donat5,transac6,grants7,money8,gift9,gift10,funding11,donations12,donations13
81,17715,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0WA03187&tabIndex=1,"HERRERA BEUTLER, JAIME",H0WA03187,H,WA,3,REP,PO BOX 1614,APT 103,RIDGEFIELD,WA,986420020,48966.73,50176.70,1236392.30,402153.68,1638545.98,1014969.86,15000.00,-,-,-,-,34856.37,1982.02
82,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NY03247&tabIndex=1,"SUOZZI, THOMAS",H6NY03247,H,NY,3,DEM,PO BOX 669,APT 103,GLEN COVE,NY,11542,1320976.28,30379.20,1775583.33,74758.71,1850342.04,840784.42,-,-,31498.61,-,-,18950.58,119.24
83,18850,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NY11174&tabIndex=1,"DONOVAN, DAN",H6NY11174,H,NY,11,REP,PO BOX 60530,APT 103,STATEN ISLAND,NY,10306,97462.13,-,1394816.88,74300.00,1469116.88,1077087.33,7250.00,-,49733.84,-,-,2267.06,-
84,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6OH11160&tabIndex=1,"GOLDSTEIN, BEVERLY A.",H6OH11160,H,OH,11,REP,",",APT 103,",",OH,0,261.83,-,17715.00,3979.00,21694.00,-,-,-,-,-,-,-,-
85,26044,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8ME02235&tabIndex=1,"VANHELSING, DANIELLE RAVYN MS.",H8ME02235,H,ME,2,UN,527 NORTH DEXTER ROAD,APT 103,SANGERVILLE,ME,4479,-,-,-,-,-,-,-,-,-,-,-,-,-
86,1736478,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8VA01287&tabIndex=1,"HICKS, TOM",H8VA01287,H,VA,1,DEM,15690 ST PETERS CHURCH RD,APT 103,MONTPELIER,VA,23192,-,-,18850.00,6235.18,25085.18,-,-,14080.01,-,10000.00,-,15.00,-
87,411202,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NY09090&tabIndex=1,"ANABILAH-AZUMAH, JOEL",H4NY09090,H,NY,9,UNK,146 EAST 55 STREET,APT 103,BROOKLYN,NY,11203,-,-,-,-,-,-,-,-,-,-,-,-,-
88,517326,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8GA03051&tabIndex=1,"ENDERLIN, CHARLES JOSEPH JR.",H8GA03051,H,GA,3,DEM,PO BOX 1174,APT 103,NEWNAN,GA,30264,-,-,26044.00,24295.88,50339.88,-,-,5307.25,-,-,-,-,-
89,404522,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6OR02116&tabIndex=1,"WALDEN, GREGORY P. MR.",H6OR02116,H,OR,2,REP,1504 SHERMAN AVENUE,APT 103,HOOD RIVER,OR,970311456,1420205.94,-,1736478.41,193260.70,1929739.11,2991017.14,-,-,403433.69,-,-,43681.51,1657.66
90,2650,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6OR03064&tabIndex=1,"BLUMENAUER, EARL",H6OR03064,H,OR,3,DEM,901 SE OAK STREET,SUITE 105,PORTLAND,OR,97214,892433.40,-,411201.74,118198.17,529399.91,932979.10,47.09,-,16000.00,-,-,11866.83,460.03
91,13629,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8FL15107&tabIndex=1,"POSEY, BILL",H8FL15107,H,FL,8,REP,P. O. BOX 411486,SUITE 105,MELBOURNE,FL,32941,306530.27,-,517326.00,54871.18,572197.18,353246.02,-,-,-,-,-,730.30,1327.50
92,52155,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8FL15230&tabIndex=1,"SPANO, VINCENT ROSS",H8FL15230,H,FL,15,REP,10101 BLOOMINGDALE AVENUE,SUITE 201,RIVERVIEW,FL,33578,1644.90,323153.10,404522.00,31594.75,436116.75,267853.45,-,-,17380.80,174500.00,-,30.00,39962.75
93,72266,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX32114&tabIndex=1,"MATERNOWSKI, TODD",H8TX32114,H,TX,32,DEM,PO BOX 741732,SUITE 201,DALLAS,TX,75374,(102.36),-,2650.00,3081.00,5731.00,-,-,-,-,-,-,-,-
94,46452,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA23206&tabIndex=1,"REED, WENDY",H6CA23206,H,CA,23,DEM,PO BOX 3133,SUITE 201,QUARTZ HILL,CA,93560,-,-,13628.65,8253.69,21882.34,1000.00,-,-,-,4499.23,-,12.68,-
95,500,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL09195&tabIndex=1,"LIEBNITZKY, WAYNE",H6FL09195,H,FL,9,REP,3225 CORD AVE,SUITE 201,ST CLOUD,FL,34772,-,-,52155.00,7097.91,59252.91,12000.00,-,250.42,-,-,-,-,3.56
96,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8ND01029&tabIndex=1,"HANSON, BEN",H8ND01029,H,ND,0,DEM,PO BOX 7114,SUITE 201,FARGO,ND,58106,-,-,72266.00,77954.24,150220.24,5600.00,-,3209.25,-,-,-,1750.00,-
97,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL14141&tabIndex=1,"SWANSON, VICTOR",H8IL14141,H,IL,14,DEM,143 S. RANDALL,#12,BATAVIA,IL,60510,-,-,46452.20,31636.00,78088.20,-,-,2267.10,-,-,-,54.58,-
98,6800,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8OK05091&tabIndex=1,"PORTER, EDDIE RAY",H8OK05091,H,OK,5,DEM,4205 NE 116TH STREET,#12,OKLAHOMA CITY,OK,73131,-,-,500.00,1055.00,1555.00,-,-,-,-,18350.00,-,-,-
99,7199,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8OH00128&tabIndex=1,"PINION, TIMOTHY A.",S8OH00128,S,OH,0,REP,4205 NE 116TH STREET,#12,PORTSMOUTH,OH,73131,-,-,-,-,-,-,-,-,-,-,-,-,-
100,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8OH00136&tabIndex=1,"FARLEY, PHILENA IRENE",S8OH00136,S,OH,0,GRE,4205 NE 116TH STREET,#12,COLUMBUS,OH,73131,-,-,-,-,-,-,-,-,-,-,-,-,-
101,335664,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX27092&tabIndex=1,"BARRERA, RAUL (ROY)",H6TX27092,H,TX,27,DEM,PO BOX 10317,#12,CORPUS CHRISTI,TX,78410,4800.49,(765.00),6800.00,896.18,7696.18,-,2000.00,-,-,2600.00,-,-,-
102,34977,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8KS02231&tabIndex=1,"MAYS, MARION DOUGLAS",H8KS02231,H,KS,2,REP,7501 SW ARTHURS RD,#12,TOPEKA,KS,66610,-,-,7199.40,515.30,7714.70,-,-,-,-,145000.00,-,450.00,-
103,223498,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX22222&tabIndex=1,"WILLIAMS, STEPHANIE MS.",H8TX22222,H,TX,22,NNE,411 NORTH MISSOURI STREET,PO BOX 119,ORCHARD,TX,77464,-,-,-,-,-,-,-,-,-,-,-,-,-
104,137135,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WA08239&tabIndex=1,"HADER, SHANNON",H8WA08239,H,WA,8,DEM,2 E MAIN ST #429,PO BOX 119,AUBURN,WA,98002,17534.45,50000.00,335664.46,98275.91,433940.37,18300.00,-,5500.00,-,420000.00,-,8703.57,-
105,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WI01164&tabIndex=1,"STEEN, KEVIN ADAM",H8WI01164,H,WI,1,REP,PO BOX 0185,PO BOX 119,SALEM,WI,53168,1753.30,-,34977.26,4768.26,39745.52,-,-,83.76,-,9000.00,-,65.62,-
106,6752367,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WI03103&tabIndex=1,"TOFT, STEVE",H8WI03103,H,WI,3,REP,13213 THOMAS STREET,PO BOX 119,OSSEO,WI,54758,104.00,30000.00,223498.41,30403.93,253902.34,12000.00,-,6415.42,-,30000.00,-,104.00,2600.00
107,1691411,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WI05165&tabIndex=1,"PALZEWICZ, TOM",H8WI05165,H,WI,5,DEM,17145 GREENWOOD COURT WEST,PO BOX 119,BROOKFIELD,WI,53005,2891.12,-,137134.88,89296.40,226431.28,21770.00,-,-,-,15000.00,-,-,-
108,956937,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX32080&tabIndex=1,"RODRIGUEZ, DARRELL ALLEN",H8TX32080,H,TX,4,DEM,P.O. BOX 600641,PO BOX 119,DALLAS,TX,75360,-,-,-,-,-,-,-,-,-,-,-,-,-
109,2000,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MI00372&tabIndex=1,"JAMES, JOHN",S8MI00372,S,MI,0,REP,31525 FRANKLIN FAIRWAY ST,PO BOX 119,FARMINGTON HILLS,MI,48334,507954.88,-,6752367.36,5200025.62,11952393.98,375144.19,1227.60,-,149488.83,50000.00,-,23211.92,-
110,46990,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MA00276&tabIndex=1,"DIEHL, GEOFF",S8MA00276,S,MA,0,REP,10 VILLAGE WAY,PO BOX 119,WHITMAN,MA,2382,8905.71,30484.84,1691411.05,1298567.51,2989978.56,34680.00,375.00,-,-,-,-,-,-
111,41650,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MA00318&tabIndex=1,"KINGSTON, JOHN MR",S8MA00318,S,MA,0,REP,331 MONTVALE AVENUE,PO BOX 119,WOBURN,MA,1801,76483.29,398146.09,956937.00,424825.65,1381763.65,2150.00,-,240265.00,-,5098000.00,-,36977.78,67.08
112,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8OH12230&tabIndex=1,"LETT, CRYSTAL LYNN",H8OH12230,H,OH,12,DEM,6891 SPARROW LANE,PO BOX 119,COLUMBUS,OH,43235,-,-,2000.00,770.00,2770.00,-,-,-,-,-,-,-,-
113,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WA08155&tabIndex=1,"DAS, MONA",H8WA08155,H,WA,8,DEM,140 LAKESIDE AVENUE,SUITE 22,SEATTLE,WA,98122,-,-,46989.51,43539.19,90528.70,-,-,1118.99,-,-,-,-,-
114,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NV03176&tabIndex=1,"TACHE, LYNDA",H8NV03176,H,NV,3,REP,PO BOX 752004,SUITE 22,LAS VEGAS,NV,89136,-,-,41650.00,1005.00,42655.00,6000.00,-,2779.96,-,-,-,24.39,-
115,55167,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MA00292&tabIndex=1,"MITCHELL, DARIUS",S8MA00292,S,MA,0,REP,108 BUTTERFIELD ST,SUITE 22,LOWELL,MA,1854,-,-,-,-,-,-,-,-,-,-,-,-,-
116,8864,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8ME00148&tabIndex=1,"HAMMER, ALEX",S8ME00148,S,ME,0,IND,PO BOX 2372,SUITE 22,BANGOR,ME,4402,-,-,-,-,-,-,-,-,-,-,-,-,-
117,225708,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8ME02136&tabIndex=1,"CLEAVES, PHILIP J MR JR",H8ME02136,H,ME,2,DEM,34 LINCOLN ST,SUITE 22,DEXTER,ME,4930,-,-,-,-,-,-,-,-,-,-,-,-,-
118,779464,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CO02202&tabIndex=1,"WILLIAMS, MARK JOAQUIN MR.",H8CO02202,H,CO,2,DEM,1732 YAUPON AVE,SUITE 22,BOULDER,CO,80304,-,-,55167.18,32264.63,87431.81,-,-,-,-,-,-,-,5771.28
119,2316789,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NE01163&tabIndex=1,"CRAWFORD, DENNIS P",H4NE01163,H,NE,1,DEM,9600 CALVERT STREET,SUITE 22,LINCOLN,NE,68520,105.00,-,8864.00,13195.00,22059.00,200.00,-,807.00,-,-,-,-,-
120,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8PA13117&tabIndex=1,"GOODMAN, SHIRA MS.",H8PA13117,H,PA,4,DEM,1432 CATLIN WAY,SUITE 22,DRESHER,PA,19025,398.25,-,225708.08,55073.62,280781.70,2150.00,-,16558.46,-,-,-,3620.00,-
121,596805,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6IL00292&tabIndex=1,"DUCKWORTH, L TAMMY",S6IL00292,S,IL,0,DEM,PO BOX 10793,SUITE 22,CHICAGO,IL,60610,1137843.69,-,779464.23,1029687.94,1809155.17,267550.00,-,-,63889.84,-,-,42412.00,67445.72
122,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6MD03177&tabIndex=1,"CARDIN, BENJAMIN L",S6MD03177,S,MD,0,DEM,PO BOX 21093,SUITE 22,CATONSVILLE,MD,21228,1261723.10,-,2316789.00,127687.75,2444480.75,1592761.56,-,-,28341.00,-,-,948.00,617.93
123,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA12247&tabIndex=1,"DEMASI, CHASE MR",H8CA12247,H,CA,12,REP,38228 PATWIN TERRACE,SUITE 22,DAVIS,CA,95616,-,-,-,-,-,-,-,-,-,-,-,-,-
124,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8VA06104&tabIndex=1,"CLINE, BENJAMIN LEE",H8VA06104,H,VA,6,REP,6 S. RANDOLPH STREET,SUITE 22,LEXINGTON,VA,24450,18747.53,29913.59,596804.97,88386.13,685191.10,298812.48,5000.00,1550.00,-,-,-,8691.52,-
125,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8ND00096&tabIndex=1,"PEYER, DUSTIN DAVID",S8ND00096,S,ND,0,DEM,328 SE 1ST ST,SUITE 22,DRISCOLL,ND,58532,-,-,-,-,-,-,-,-,-,-,-,-,-
126,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NY21237&tabIndex=1,"KOPSER, JOSEPH",H8NY21237,H,NY,21,DEM,PO BOX 701711,SUITE 22,SAN ANTONIO,TX,78270,-,-,-,-,-,-,-,-,-,-,-,-,-
127,195484,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL17037&tabIndex=1,"SCHUH, JON RODNEY MR. JR.",H8IL17037,H,IL,17,REP,300 GEAR STREET,SUITE 22,GALENA,IL,61036,-,-,-,-,-,-,-,-,-,-,-,-,-
128,392097,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX22214&tabIndex=1,"BOWERS, HARRY",H8TX22214,H,TX,22,REP,4813 SCOTT RD,SUITE 22,PEARLAND,TX,77581,-,-,-,-,-,-,-,-,-,-,-,-,-
129,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8GA01055&tabIndex=1,"JARVIS, BERNARD STEFAN",H8GA01055,H,GA,1,DEM,190 QUAIL ROAD,SUITE 22,RICHMOND HILL,GA,31324,-,-,-,-,-,-,-,-,-,-,-,-,-
130,309737,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NC06079&tabIndex=1,"WATTS, RYAN",H8NC06079,H,NC,6,DEM,PO BOX 1339,SUITE 22,GRAHAM,NC,27253,27458.60,-,195483.81,118161.59,313645.40,10600.00,41.67,15462.94,-,375.00,-,-,-
131,2066,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2OR01133&tabIndex=1,"BONAMICI, SUZANNE MS.",H2OR01133,H,OR,1,DEM,PO BOX 1632,SUITE 22,BEAVERTON,OR,97075,458748.99,-,392097.20,103697.58,495794.78,546123.44,-,-,-,-,-,269.46,-
132,6017,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX16075&tabIndex=1,"LECLAIRE, NICOLE JENAE",H8TX16075,H,TX,16,DEM,5223 MARBLE GATE LN,SUITE 22,HOUSTON,TX,77069,-,-,-,-,-,-,-,-,-,-,-,-,-
133,44950,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NH01160&tabIndex=1,"SANBORN, ANDY",H8NH01160,H,NH,1,REP,71 EAGLE DRIVE,SUITE 22,BEDFORD,NH,3110,-,314610.47,309737.36,41265.83,351003.19,20650.00,-,-,-,511166.48,50.00,-,91.70
134,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8VA06088&tabIndex=1,"COPPOLA, SERGIO MR. II",H8VA06088,H,VA,6,DEM,6567 RAWLEY PIKE,SUITE 22,HINTON,VA,22831,-,-,2066.32,779.13,2845.45,-,-,580.52,-,2000.00,-,-,-
135,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NY11071&tabIndex=1,"EMIG, ZACH",H8NY11071,H,NY,11,DEM,PO BOX 10230,SUITE 22,STATEN ISLAND,NY,10301,-,-,6016.90,873.99,6890.89,-,-,29095.01,-,14000.00,-,-,-
136,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8DE00103&tabIndex=1,"BOYCE, HENRY CHARLES  'CHUCK'  JR",S8DE00103,S,DE,0,REP,121 TUSCANY DRIVE,SUITE 22,MIDDLETOWN,DE,19709,(2656.39),-,44950.00,1134.00,46084.00,-,-,230027.00,-,105536.00,-,-,-
137,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA43150&tabIndex=1,"ZUNIGA, MIGUEL",H8CA43150,H,CA,43,GRE,PO BOX 1203,SUITE 22,LOMITA,CA,90717,-,-,-,-,-,-,-,-,-,-,-,-,-
138,17213799,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL07132&tabIndex=1,"WEINGART, PATRICK DONOVAN",H6FL07132,H,FL,7,REP,809 BAMBI AVE,SUITE 22,ALTAMONTE SPRINGS,FL,32714,-,-,-,-,-,-,-,-,-,-,-,-,-
139,500,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8UT02230&tabIndex=1,"SURVEYOR, CHARLOTTE",H8UT02230,H,UT,2,DEM,60 SOUTH 800 WEST,SUITE 22,SALT LAKE CITY,UT,84104,-,-,-,-,-,-,-,-,-,-,-,-,-
140,14083470,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MD04282&tabIndex=1,"THERRIEN, DAVID",H6MD04282,H,MD,4,REP,8385 MARYLAND RD,SUITE 22,PASADENA,MD,21122,11960.41,14943.15,-,15.00,15.00,-,-,-,-,19443.15,-,-,-
141,2102518,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2TX00312&tabIndex=1,"CRUZ, RAFAEL EDWARD  TED",S2TX00312,S,TX,0,REP,815 A BRAZOS PMB 550,SUITE 22,AUSTIN,TX,78701,157958.64,10000.00,17213798.56,12020422.63,29234222.19,1281824.02,100.00,-,4105176.86,260000.00,-,12354.42,515390.19
142,3097478,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA39216&tabIndex=1,"SAREGA, ANDREW",H8CA39216,H,CA,39,REP,5300 BEACH BLVD,APT 101-295,BUENA PARK,CA,90621,-,35000.00,500.00,335.00,835.00,-,-,-,-,35000.00,-,-,-
143,7461,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2ND00099&tabIndex=1,"HEITKAMP, HEIDI",S2ND00099,S,ND,0,DEM,21 CAPTAIN LEACH DRIVE,APT 101-295,MANDAN,ND,58554,6483856.47,-,14083469.82,11504587.97,25588061.79,2920093.62,1000.00,-,975830.43,-,-,6239.02,34370.79
144,62400,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2NE00094&tabIndex=1,"FISCHER, DEBRA S",S2NE00094,S,NE,0,REP,5555 SOUTH ST STE 200,APT 101-295,LINCOLN,NE,68506,511616.90,-,2102517.89,192391.44,2294909.33,1871393.00,-,-,340857.09,-,-,1476.13,-
145,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2NM00088&tabIndex=1,"HEINRICH, MARTIN TREVOR",S2NM00088,S,NM,0,DEM,PO BOX 25763,APT 101-295,ALBUQUERQUE,NM,87125,654974.35,-,3097478.33,847144.43,3944623.76,1909809.51,2000.00,-,468120.38,-,-,2329.68,50180.53
146,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA42236&tabIndex=1,"WOODY, MATT",H8CA42236,H,CA,42,NNE,PO BOX 2651,APT 101-295,CORONA,CA,92878,2114.72,39116.26,7461.00,-,7461.00,-,-,-,-,39000.00,-,-,-
147,1129,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL08119&tabIndex=1,"JHINGAN, VANDANA",H8IL08119,H,IL,8,REP,101 BAR HARBOUR RD,APT 101-295,SCHAUMBURG,IL,60193,-,-,62400.00,300.00,62700.00,-,-,-,-,11000.00,-,-,-
148,360,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8KS02124&tabIndex=1,"STANDLEY, KELLY DON",H8KS02124,H,KS,2,DEM,602 MAPLE STREET,APT 101-295,SAINT PAUL,KS,66771,-,-,-,-,-,-,-,-,-,-,-,-,-
149,1406,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8OH13139&tabIndex=1,"HARTMAN, DARRELL LYNN",H8OH13139,H,OH,16,REP,600 HILLMAN RD,APT 101-295,AKRON,OH,44312,-,-,-,-,-,-,-,-,-,-,-,-,-
150,8850,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NY11097&tabIndex=1,"DECILLIS, ALFRED MICHAEL",H8NY11097,H,NY,11,DEM,P.O. BOX 10299,APT 101-295,STATEN ISLAND,NY,10301,(6209.46),-,1128.57,1250.00,2378.57,-,-,15942.83,-,-,-,-,100.00
151,18725,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IN07150&tabIndex=1,"HARMON, WAYNE E",H8IN07150,H,IN,7,REP,PO BOX 19603,APT 101-295,INDIANAPOLIS,IN,46219,267.54,-,360.00,-,20.00,-,-,386.00,-,-,-,-,-
152,53150,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NY21351&tabIndex=1,"KAHN, LYNN SANDRA",H8NY21351,H,NY,21,GRE,18 LAKEVIEW WAY,APT 101-295,SCHROON LAKE,NY,12870,149.00,-,1406.00,1355.00,2761.00,-,1000.00,400.00,-,1677.00,-,-,-
153,146790,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8KS02215&tabIndex=1,"TANNAHILL, TYLER NATHAN",H8KS02215,H,KS,2,REP,1035 S BROADWAY ST,APT 101-295,LEAVENWORTH,KS,66048,-,-,8850.00,3868.50,12718.50,-,-,-,-,65100.00,-,-,-
154,393525,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4IA03057&tabIndex=1,"SHERZAN, MICHAEL THOMAS",H4IA03057,H,IA,3,DEM,6775 BOONEVILLE RD,APT 101-295,WEST DES MOINES,IA,50266,-,-,18725.00,5441.99,24166.99,-,-,36545.30,-,-,-,-,-
155,1268138,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AZ03159&tabIndex=1,"PIERSON, JOE NICOLAS",H8AZ03159,H,AZ,3,REP,2361 N LAKE STAR DRIVE,APT 101-295,TUCSON,AZ,85749,19.24,5000.00,53150.00,17117.00,70267.00,1500.00,-,-,-,5609.00,-,-,25.00
156,1610557,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NH02267&tabIndex=1,"LEVENSON, STEWART",H8NH02267,H,NH,2,REP,117 HOPKINS GREEN ROAD,APT 101-295,HOPKINTON,NH,3229,-,-,146789.69,12207.00,158996.69,-,-,305389.92,-,50000.00,-,175.58,-
157,490152,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX25159&tabIndex=1,"OLIVER, JULIE LYNN",H8TX25159,H,TX,25,DEM,PO BOX 310,APT 101-295,AUSTIN,TX,78767,-,2644.27,393525.14,239701.27,633226.41,700.00,4000.00,3799.49,-,3125.00,-,16.99,1058.29
158,3802,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NY02104&tabIndex=1,"GRECHEN SHIRLEY, LIUBOV LIUBA",H8NY02104,H,NY,2,DEM,PO BOX 694,APT 101-295,AMITYVILLE,NY,11701,18794.78,3000.00,1268137.67,562748.11,1830885.78,120199.76,-,-,25883.34,-,-,2357.35,-
159,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA39174&tabIndex=1,"CISNEROS, GILBERT",H8CA39174,H,CA,39,DEM,10880 WILSHIRE BLVD.,SUITE 2100,LOS ANGELES,CA,90024,81438.82,579849.73,1610557.22,569074.44,2179631.66,83908.20,1544.18,52761.86,464859.65,9200000.00,-,140465.49,142022.98
160,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8KS03122&tabIndex=1,"WELDER, BRENT",H8KS03122,H,KS,3,DEM,PO BOX 860313,SUITE 2100,SHAWNEE,KS,66286,298.77,-,490151.69,378804.42,868956.11,70122.66,-,2032.26,-,54750.00,-,1102.06,0.01
161,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL01143&tabIndex=1,"MILLS, JOHN",H6FL01143,H,FL,1,REP,1940 BOARDWALK DRIVE,SUITE 2100,MIRAMAR BEACH,FL,32550,277.63,38536.03,3801.60,6080.00,9881.60,-,-,-,-,21112.46,920.16,-,-
162,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8TN00329&tabIndex=1,"BAILEY, BILLY",S8TN00329,S,TN,0,DEM,2919 SHACONAGE TRAIL,SUITE 2100,SEVIERVILLE,TN,37876,-,-,-,-,-,-,-,-,-,-,-,-,-
